Time,CwndBytes
38.2216,28418
38.2336,28491
38.2456,28564
38.2576,28637
38.2697,28710
38.2817,28783
38.2937,28855
38.3057,28927
38.3177,28999
38.3297,29071
38.3418,29143
38.3538,29214
38.3778,28639
38.3839,29765
38.3899,30891
38.3959,32017
38.4019,33144
38.4079,34270
38.4139,35396
38.4199,36522
38.4259,37648
38.4319,37488
38.4379,37327
38.4439,37166
38.4499,37005
38.4559,36844
38.462,36683
38.468,36522
38.474,36361
38.48,36200
38.486,36040
38.492,23168
38.492,23258
38.504,23348
38.516,23437
38.528,23526
38.54,23615
38.552,23703
38.5641,23791
38.5761,23879
38.5881,23966
38.6001,24053
38.6121,24140
38.6241,24226
38.6375,24312
38.6555,24398
38.6676,24483
38.6796,24568
38.6916,24653
38.7036,24738
38.7156,24822
38.7276,24906
38.741,24990
38.759,25073
38.771,25156
38.7831,25239
38.7951,25322
38.8071,25404
38.8191,25486
38.8311,25568
38.8431,25650
38.8565,25731
38.8685,25812
38.8806,25893
38.8926,25973
38.9046,26053
38.9287,24616
38.9347,26064
38.9407,27512
39.0261,27588
39.0382,27664
39.0502,27739
39.0622,27814
39.0923,27512
39.0983,28960
39.1043,30408
39.2004,30476
39.2124,30544
39.2244,30612
39.2364,30680
39.2484,30748
39.2605,30816
39.2725,30884
39.2845,30951
39.2965,31018
39.3085,31085
39.3205,31152
39.3326,31219
39.3446,31286
39.3566,31353
39.3686,31419
39.3806,31485
39.3926,31551
39.4046,31617
39.4167,31683
39.4287,31749
39.4407,31815
39.4527,31880
39.4647,31945
39.4767,32010
39.4888,32075
39.5008,32140
39.5128,32205
39.5248,32270
39.5368,32334
39.5488,32398
39.5609,32462
39.5729,32526
39.5849,32590
39.5969,32654
39.6089,32718
39.6209,32782
39.633,32845
39.645,32908
39.657,32971
39.669,33034
39.681,33097
39.693,33160
39.705,33223
39.7171,33286
39.7291,33348
39.7411,33410
39.7531,33472
39.7651,33534
39.7771,33596
39.7892,33658
39.8012,33720
39.8132,33782
39.8252,33844
39.8372,33905
39.8492,33966
39.8613,34027
39.8733,34088
39.8853,34149
39.8973,34210
39.9093,34271
39.9213,34332
39.9334,34393
39.9454,34453
39.9574,34513
39.9694,34573
39.9814,34633
39.9934,34693
40.0054,34753
40.0175,34813
40.0295,34873
40.0415,34933
40.0535,34993
40.0776,34226
40.0836,35147
40.0896,36069
40.0956,36990
40.1016,37912
40.1076,38833
40.1136,39755
40.1196,40676
40.1256,41598
40.1317,42519
40.1377,43440
40.1437,43177
40.1497,42914
40.1557,42651
40.1617,42387
40.1677,42124
40.1737,41861
40.1797,41598
40.1857,41334
40.1917,41071
40.1977,40808
40.2038,40544
40.2098,40281
40.2157,26064
40.2157,26144
40.2277,26224
40.2398,26303
40.2518,26382
40.2638,26461
40.2758,26540
40.2878,26619
40.2998,26697
40.3119,26775
40.3239,26853
40.3359,26931
40.3479,27008
40.3599,27085
40.3719,27162
40.384,27239
40.396,27315
40.408,27391
40.42,27467
40.432,27543
40.444,27619
40.456,27694
40.4681,27769
40.4801,27844
40.5102,27512
40.5162,28960
40.5222,30408
40.6183,30476
40.6303,30544
40.6423,30612
40.6543,30680
40.6663,30748
40.6783,30816
40.6904,30884
40.7024,30951
40.7144,31018
40.7264,31085
40.7384,31152
